華碩 ROG STRIX B760-I GAMING WIFI(Mini ITX/Intel 2.5Gb+無線/註五年)8+1相,$5490 ◆ ★
華碩 ROG STRIX B760-G GAMING WIFI(M-ATX/Intel 2.5Gb+無線/註五年)12+1相,$5990 ◆ ★ ↓任搭190↓
華碩 ROG STRIX B760-A GAMING WIFI(ATX/Intel 2.5Gb+無線/註五年)12+1相,$5990 ◆ ★ ↓任搭190↓
技嘉 B760M E(M-ATX/GbE LAN/註冊四年保/2DIMM)6+1+1相,$2990 ◆ ★
技嘉 B760M GAMING WIFI PLUS(M-ATX/LAN 2.5Gb+無線/註五年/2DIMM)6+2+1相,$3790 ◆ ★ ↓任搭100↓
技嘉 B760M DS3H(M-ATX/LAN 2.5Gb/註冊四年保)6+2+1相 *最後優惠,$3190 ◆ ★
技嘉 B760M DS3H GEN5(M-ATX/LAN 2.5Gb/註冊四年保)6+2+1相,$3990 ◆ ★ ↓任搭100↓
技嘉 B760M DS3H AX(M-ATX/LAN 2.5Gb+無線/註冊四年保)6+2相,$4490 ◆ ★ ↓任搭100↓
[任搭U]技嘉 B760M DS3H AX(M-ATX/LAN 2.5Gb+無線/註冊四年保)6+2相,$3990 ◆ ★
技嘉 B760M AORUS ELITE AX(M-ATX/LAN 2.5Gb+無線/註冊五年保)12+1+1相,$5490 ◆ ★ ↓任搭100↓
技嘉 B760M GAMING X WIFI6E GEN5(M-ATX/LAN 2.5Gb+無線/註五年)8+1+1相電源,$4990 ◆ ★
微星 PRO B760M-E(M-ATX/LAN 1Gb/註冊四年/2DIMM)6+1+1相供電,$2590 ◆ ★ ↓任搭100↓
微星 PRO B760M-B(M-ATX/LAN 2.5Gb/註冊四年/2DIMM)6+1相供電,$2790 ◆ ★
微星 PRO B760M-P(M-ATX/LAN 1Gb/註冊四年/4DIMM))8相供電,$3090 ◆ ★
微星 B760M BOMBER(M-ATX/LAN 2.5Gb/註四年/2DIMM)8相供電,$2790 ◆ ★
微星 B760M BOMBER WIFI(M-ATX/LAN 2.5Gb+無線/註四年/2DIMM)6+1+1相,$3190 ◆ ★ ↓任搭100↓
微星 B760M GAMING WIFI(M-ATX/LAN 2.5Gb+無線/註五年/2DIMM)6+1相,$3690 ◆ ★
微星 B760M GAMING PLUS WIFI(M-ATX/LAN 2.5Gb+無線/註五年)12+1+1相,$4090 ◆ ★ ↓任搭100↓
微星 B760M PROJECT ZERO 背插(M-ATX/LAN 2.5Gb+無線/註五年)12+1+1相,$4890 ◆ ★ 熱賣 ↓任搭100↓
微星 B760M EDGE TI WIFI(M-ATX/LAN 2.5Gb+無線/註五年)12+1+1相,$5990 ◆ ★ ↓任搭100↓
微星 B760 GAMING PLUS WIFI(ATX/LAN 2.5Gb+無線/註五年)12+1+1相,$4290 ◆ ★ ↓任搭200↓
華擎 B760I Lightning WiFi(Mini ITX/R 2.5Gb+無線/2DIMM)14+1+1相 送攜帶式行動電源,$6990 ◆ ★
華擎 B760M-HDV/M.2(M-ATX/LAN 2.5Gb/註冊四年)7+1+1相,$2390 ◆ ★
